epoch,training_loss,validation_loss
0,10274.427913230327,1946.8705583610572
1,7345.674909494759,1718.0975310916806
2,6288.7350035393865,1605.836635543994
3,5677.526117914495,1490.2717126156426
4,5402.9147578234715,1565.9208362120553
5,4981.640802390447,1534.1722319438572
6,4764.228595058152,1536.0323504058254
7,4639.013338676064,1593.90680828921
8,4437.341518670646,1578.872163391213
9,4301.853721255051,1698.9106086987051
10,4162.171701448578,1843.2872495921997
11,4027.630230392382,1909.737900513877
12,3938.8269005291027,1921.6419451018232
13,3919.01430261052,1791.669873765477
14,3728.947904965308,1779.3242880087964
15,3676.6923475400795,1849.611972840401
16,3567.894084867511,2055.6048020461635
17,3491.2496138232586,2084.3500270692693
18,3402.581754328345,1961.0415334434833
19,3418.896508082329,2231.630291679118
