epoch,training_loss,validation_loss
0,1446.293954640627,359.557700814039
1,1216.9498387756175,284.0861154560698
2,1095.054254431454,263.2067080791603
3,959.9372817661811,278.8993252143564
4,815.3402606793975,253.00398366677473
5,698.6235262947752,285.24371911390045
6,567.5983956810205,335.5386366085811
7,441.3335812414112,366.3027170565076
8,335.50587121651216,434.86063519416376
9,303.247902607651,457.53212079452874
10,184.92677091239793,525.6048041735764
11,216.2026570686321,496.1373447400924
12,172.7018600293675,588.8161214559372
13,142.45084106606066,641.7546769193268
14,129.22144825586383,605.5023187794445
15,182.23242383622295,508.93048108461926
16,113.99940629270824,588.8692493283468
17,124.65963858124948,712.9099059706558
18,104.26314183377775,701.5337304159341
19,125.64883829818547,686.1317942726263
