epoch,training_loss,validation_loss
0,306.5141546726227,74.27965927124023
1,302.18700897693634,74.13915300369263
2,297.6552320718765,72.14391851425171
3,289.06302630901337,71.43364477157593
4,273.92972995340824,69.15130496025085
5,242.28964657057077,66.29134817421436
6,201.7718619093066,65.64892736822367
7,171.98138707873295,72.54791693016887
8,135.29717476393853,79.94177126092836
9,97.42258942842454,86.3920910312736
10,71.37627035527203,94.77683974942192
11,65.32563317527871,88.79686058676452
12,55.50834555279158,141.80767124456202
13,20.84578704516582,159.62783370959392
14,30.550579088433757,151.70188858205165
15,29.973387077398364,140.0938463894194
16,18.254422509160854,147.27272401100822
17,10.3110523468332,168.95583759869982
18,8.986377907631422,162.622854753694
19,3.7423737443449454,203.87821362040586
