epoch,training_loss,validation_loss
0,31.729114770889282,7.794546008110046
1,30.68621265888214,7.802550435066223
2,30.272531867027283,7.814855694770813
3,28.279748558998108,7.956029176712036
4,28.897050738334656,7.867672443389893
5,27.532384037971497,8.034793734550476
6,28.341830849647522,7.791068196296692
7,26.93562400341034,8.016562700271606
8,23.678078055381775,8.85863584280014
9,18.950851947069168,7.990994691848755
10,11.8466015458107,11.323659181594849
11,7.281423144508153,9.917863309383392
12,1.9949497002526186,18.133059456944466
13,1.262894463216071,18.86492875404656
14,2.7019067520715225,11.228263340890408
15,0.6671641381581139,14.04139756783843
16,0.13050657657458942,17.351942617446184
17,0.15779123350142754,18.815706312423572
18,0.025656411496981946,19.03649251279421
19,0.020264239745294788,19.351613353937864
