epoch,training_loss,validation_loss
0,157.70821318775415,27.33233368396759
1,140.1953160762787,26.297847390174866
2,139.3887168765068,26.316471934318542
3,135.92016398906708,26.82823157310486
4,130.8255631327629,27.250925719738007
5,120.26544561982155,26.77182686328888
6,106.03686241805553,29.165113613009453
7,98.93865146057215,30.909301210194826
8,81.1454769935226,37.98594635585323
9,57.062032422667016,37.468985299929045
10,34.36613515084878,50.50909322494408
11,17.733853096982102,60.961935587693006
12,9.984534149870342,66.98201423132514
13,3.904821842541182,69.0726221351506
14,1.6898860788175156,87.9932683938516
15,6.257957389852713,72.77290327470791
16,0.6399987899990265,82.45934579177992
17,0.2971856952057834,83.8558557997178
18,0.4259473660665307,97.1321179304503
19,0.5868354889294025,107.65593038824272
