epoch,training_loss,validation_loss
0,80.50900381803513,23.45086181163788
1,72.6243668794632,29.297630190849304
2,71.84870064258575,27.736047625541687
3,70.52385973930359,36.65218657255173
4,67.96772599220276,40.24378263950348
5,63.87946528196335,32.26772706210613
6,57.97503662854433,54.41911777853966
7,57.25978632303304,35.69948827661574
8,47.665352402606004,40.885753536596894
9,36.250399792385906,47.95306584239006
10,23.78599133521857,77.42796544590965
11,14.843206077520328,105.28471446025105
12,11.91109087679206,110.341503560543
13,18.836341803703817,65.5597700625658
14,6.248903546293121,113.72578051686287
15,0.5718870108122047,126.91588220000267
16,0.3362706088508389,142.48926573991776
17,0.32855157046000727,144.36584600806236
18,0.13996109018016512,152.88714710250497
19,0.19699651132946627,147.5322079434991
