epoch,training_loss,validation_loss
0,5880.147823699343,1281.2137111179472
1,4594.369417835351,1062.2941349130506
2,3728.771301603365,954.9891729733018
3,3198.8247520841824,903.2206124790298
4,2839.9187205565054,989.4283275036803
5,2531.886353385794,980.4004888473532
6,2269.571190908433,1017.8937981305103
7,2005.2510893831695,1127.6932117866584
8,1800.7045025123227,1104.9666607405356
9,1729.344763960154,1259.2276991133635
10,1549.234284652512,1271.7415493762928
11,1445.9109861472589,1314.1012970730164
12,1370.3781512278754,1502.1896451481598
13,1361.1673470817523,1661.0029672124006
14,1251.316595063542,1529.746128011224
15,1164.5674793738342,1493.1909663559818
16,1138.4538937309517,1525.186152888734
17,1084.5522588136432,1474.025136015882
18,1086.6352572322949,1678.0196299661397
19,1000.5840175603646,1554.7745866610112
