epoch,training_loss,validation_loss
0,15.901225209236145,3.895739436149597
1,14.855653643608093,4.238667726516724
2,12.847874760627747,5.899817049503326
3,11.921600222587585,6.922297120094299
4,10.076085984706879,9.752028703689575
5,6.763165891170502,14.957680940628052
6,1.930882265791297,27.98718810081482
7,0.07215990533586591,42.50891828536987
8,0.0027260779024800286,51.49375629425049
9,0.0004518833047768567,55.827094078063965
10,0.00016045131440023397,57.91190695762634
11,9.083647842089704e-05,58.958508014678955
12,6.842562157771681e-05,59.47674584388733
13,5.817376660388618e-05,59.72982120513916
14,5.245179045232362e-05,59.85959815979004
15,4.863713775193901e-05,59.93692111968994
16,4.565694189295755e-05,59.9904260635376
17,4.279594872969028e-05,60.032620906829834
18,4.053099610246136e-05,60.068339347839355
19,3.8385250832106976e-05,60.106359004974365
