epoch,training_loss,validation_loss
0,1443.3956925664097,362.1827615983784
1,1248.0610602401684,296.13744141958887
2,1143.35180916641,275.8378902747563
3,993.8877957178975,260.2812926282186
4,839.9608581682082,258.55543006002335
5,650.7342565622807,290.8664472631318
6,477.81402478952725,341.4022606657868
7,349.76386827664123,366.32720067346577
8,272.79054072495717,402.28385109964546
9,199.83976923861343,489.67197701381485
10,179.2591702578847,500.4815965727249
11,136.4064803965485,580.325070269585
12,107.93800030874922,578.4600787063653
13,114.8285719701897,591.2532102411034
14,116.2914317662048,642.4702825524198
15,88.26029477717924,584.6970633163207
16,72.14255051754354,529.1100938503707
17,94.54689389380093,688.2411998755242
18,123.2030753331513,667.8719606901673
19,63.137541031564865,723.8367662944925
