epoch,training_loss,validation_loss
0,81.47093462944031,21.05634105205536
1,73.6133736371994,37.11862850189209
2,74.10600399971008,28.444546818733215
3,73.10145723819733,24.507598876953125
4,68.86364102363586,27.406156063079834
5,66.43947064876556,31.627161383628845
6,62.34486946463585,35.41693064570427
7,54.529549261555076,42.182705387473106
8,43.04440530249849,48.98031369969249
9,26.678203773535643,64.98555625416338
10,9.723995785973784,94.00822364512715
11,5.249207938364627,82.04145636013709
12,0.9685814096569629,105.53470491571352
13,0.16683701860665678,118.3084744178268
14,0.07572110080673156,127.69256460401084
15,0.043722258270406655,138.12121081099758
16,0.02905762938325296,143.26514375028637
17,0.019485606862183147,149.46067976815903
18,0.014668833131963765,151.54818200898444
19,0.01122227295126521,155.1943491682614
