epoch,training_loss,validation_loss
0,744.19953083992,183.11196720600128
1,684.5402154568583,157.56030709971674
2,565.6747169722803,149.5717397593544
3,488.1403800861441,153.78143050288776
4,387.4084944534461,167.86878302529374
5,295.9975947444591,216.97495157719504
6,218.96843292276856,243.7872850272529
7,160.8996486159108,272.78562283016674
8,120.64149106356956,306.0739542154675
9,106.51718247948145,319.60738681654016
10,111.79921430600132,313.81783360595716
11,105.65677240241698,263.4988905499861
12,76.02509677501709,348.1888763565603
13,63.36595054299418,392.70757112958495
14,56.67554139171153,416.9996763430024
15,34.83619821842476,408.6939232529912
16,27.5672576660982,400.0086482776829
17,6.896412178137176,420.41872702848184
18,42.24427057361542,419.2501679096638
19,35.34253258530623,446.494586321123
