epoch,training_loss,validation_loss
0,31.352692365646362,7.806528687477112
1,30.676008462905884,7.70454728603363
2,29.90732443332672,7.562735199928284
3,28.074971079826355,7.79092538356781
4,25.248716354370117,8.084857106208801
5,18.63842797279358,7.659472227096558
6,6.959368799580261,18.39631688594818
7,7.111923451069742,12.637595627456903
8,2.723206396913156,16.94812634587288
9,0.13556931780840387,23.259757624357007
10,0.006270314403082011,25.631072913485696
11,0.0018551798721091473,27.15327142275055
12,0.0010630445367496577,28.555981269135373
13,0.0006075890059946687,29.739779823605204
14,0.0003728788897205959,30.72147190229589
15,0.00024139571064552,31.33388438628026
16,0.00016665317741626495,31.5260122701402
17,0.00012111596163322247,32.31118088903895
18,8.499590171595628e-05,32.96542823285381
19,6.496888016727098e-05,33.46562454085506
