epoch,training_loss,validation_loss
0,5526.065056890947,1091.7231522152224
1,3844.743099921514,993.7105335087281
2,3045.4890542633325,1027.1875450467187
3,2434.030245135344,1082.8805660297326
4,1983.51877859129,1344.3086453934498
5,1676.4823024694113,1384.7147573598027
6,1467.6393105997345,1219.01327727341
7,1099.7897428007298,1705.2840975881581
8,1118.4098819648075,1681.8020981182572
9,986.1576896675738,1606.7162836544921
10,972.7712536266181,1879.3400937069805
11,821.1637258300168,2075.697356335889
12,805.2693281456609,2122.0990612784885
13,900.3306029417406,2080.034012472749
14,584.2915605202695,2304.8476867214667
15,675.1447013014533,2193.871492637426
16,756.8019695774431,2148.2323236691495
17,701.9876534373818,2278.2136192758826
18,646.9723627238307,2474.512398958285
19,705.1369247597372,2754.891499944733
